scale,height,width,stride_y,stride_x,radius,true_dy_feature,true_dx_feature,epe_px,zero_offset_epe_px,epe_gain_vs_zero,argmax_epe_px,pck_4px,pck_8px,confidence,entropy,true_margin,predicted_dy_px,predicted_dx_px,fusion_weight,sample,block,slice,translation,true_dy_px,true_dx_px,timestep,alpha_bar,noise_std,snr
3,16,16,32.0,32.0,1,0.25,0.0,6.422243595123291,8.0,1.577756404876709,7.999999523162842,0.2886597812175751,0.7113401889801025,0.4719619154930115,0.6561744809150696,0.07588529586791992,2.879844903945923,-0.38326093554496765,0.1751873642206192,0,2,0,1,8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
0,128,128,4.0,4.0,3,2.0,0.0,7.899284362792969,8.0,0.10071563720703125,7.946390151977539,0.01582278497517109,0.4961162209510803,0.10716922581195831,0.9044831395149231,-0.15745367109775543,0.304302453994751,0.05333073064684868,0.013580978848040104,0,2,0,1,8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
1,64,64,8.0,8.0,3,1.0,0.0,8.249570846557617,8.0,-0.2495708465576172,6.955049514770508,0.09258194267749786,0.41230592131614685,0.07176203280687332,0.9087540507316589,-0.03322486951947212,0.92446368932724,0.07994726300239563,0.009344249032437801,0,2,0,1,8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
2,32,32,16.0,16.0,2,0.5,0.0,8.588521003723145,8.0,-0.5885210037231445,8.654317855834961,0.09478673338890076,0.4383886456489563,0.1277063935995102,0.8782652616500854,0.010808642022311687,1.5483641624450684,-0.3149750530719757,0.02141561172902584,0,2,0,1,8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
3,16,16,32.0,32.0,1,0.25,0.0,6.559967994689941,8.0,1.4400320053100586,7.999999523162842,0.27835050225257874,0.6701030731201172,0.46398022770881653,0.6683329939842224,0.07526254653930664,2.7335867881774902,-0.39870113134384155,0.16630446910858154,0,2,0,1,8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
0,128,128,4.0,4.0,3,2.0,0.0,7.94602632522583,8.0,0.05397367477416992,8.025603294372559,0.013665132224559784,0.49252015352249146,0.19315586984157562,0.822924792766571,-0.25499388575553894,0.25580134987831116,0.05856958031654358,0.045375656336545944,0,2,0,1,8,0,40,0.9340746998786926,0.2567592259711564,14.168683315205648
1,64,64,8.0,8.0,3,1.0,0.0,8.32066822052002,8.0,-0.32066822052001953,7.508113861083984,0.07993099838495255,0.408855676651001,0.08671686798334122,0.9027591347694397,-0.0597168393433094,0.8122140169143677,0.09699325263500214,0.011389093473553658,0,2,0,1,8,0,40,0.9340746998786926,0.2567592259711564,14.168683315205648
2,32,32,16.0,16.0,2,0.5,0.0,8.741989135742188,8.0,-0.7419891357421875,8.532096862792969,0.09241706132888794,0.40758293867111206,0.12213747948408127,0.8921387791633606,0.014918645843863487,1.3366479873657227,-0.2792246639728546,0.018242122605443,0,2,0,1,8,0,40,0.9340746998786926,0.2567592259711564,14.168683315205648
3,16,16,32.0,32.0,1,0.25,0.0,6.740351676940918,8.0,1.259648323059082,7.999999523162842,0.25773194432258606,0.6597937941551208,0.45759209990501404,0.6806567907333374,0.076143279671669,2.5303499698638916,-0.42182159423828125,0.1581382155418396,0,2,0,1,8,0,40,0.9340746998786926,0.2567592259711564,14.168683315205648
0,128,128,4.0,4.0,3,2.0,2.0,9.99293041229248,11.313708498984761,1.3207780866922807,8.202749252319336,0.005609896499663591,0.125,0.03999397158622742,0.9535192251205444,-0.01867995597422123,0.3928641378879547,1.9568450450897217,0.0030214753933250904,0,2,0,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,1.0,1.0,9.714585304260254,11.313708498984761,1.5991231947245073,5.770415306091309,0.03737780451774597,0.2616446316242218,0.057831890881061554,0.9104346632957458,-0.0006433321977965534,1.1000479459762573,3.1729865074157715,0.007827314548194408,0,2,0,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,0.5,0.5,10.785264015197754,11.313708498984761,0.5284444837870073,18.777496337890625,0.08056872338056564,0.24644550681114197,0.11573157459497452,0.8824331164360046,-0.041347842663526535,1.1574264764785767,3.1222479343414307,0.017712293192744255,0,2,0,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,0.25,0.25,9.798563003540039,11.313708498984761,1.515145495444722,14.40352725982666,0.030927833169698715,0.39175257086753845,0.39204680919647217,0.7316255569458008,0.04302932322025299,2.6893723011016846,1.930214762687683,0.11418817937374115,0,2,0,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,2.0,2.0,10.062819480895996,11.313708498984761,1.250889018088765,9.533821105957031,0.005034522619098425,0.12010931968688965,0.049518220126628876,0.9464417695999146,-0.04735761135816574,0.3723986744880676,1.8610620498657227,0.003726991591975093,0,2,0,2,8,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
1,64,64,8.0,8.0,3,1.0,1.0,9.750707626342773,11.313708498984761,1.5630008726419877,7.6032609939575195,0.033352501690387726,0.25819435715675354,0.05908966809511185,0.9102915525436401,-0.008410299196839333,1.0670268535614014,3.1274478435516357,0.007870230823755264,0,2,0,2,8,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
2,32,32,16.0,16.0,2,0.5,0.5,10.82943058013916,11.313708498984761,0.484277918845601,18.021642684936523,0.0758293867111206,0.24170616269111633,0.11297479271888733,0.8871875405311584,-0.03707776218652725,1.0916610956192017,3.0134341716766357,0.016727011650800705,0,2,0,2,8,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
3,16,16,32.0,32.0,1,0.25,0.25,9.775205612182617,11.313708498984761,1.538502886802144,14.099625587463379,0.04123711213469505,0.3814432919025421,0.3886778652667999,0.7368385791778564,0.04395977780222893,2.556497812271118,2.000633955001831,0.11114776134490967,0,2,0,2,8,8,5,0.9909166693687439,0.09530650886091728,109.09177586897036
0,128,128,4.0,4.0,3,2.0,2.0,10.140373229980469,11.313708498984761,1.1733352690042924,10.098584175109863,0.004171461332589388,0.11636938899755478,0.0636441707611084,0.9332518577575684,-0.0797731950879097,0.351282000541687,1.7593458890914917,0.005436275154352188,0,2,0,2,8,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
1,64,64,8.0,8.0,3,1.0,1.0,9.803092956542969,11.313708498984761,1.5106155424417924,8.922674179077148,0.03277745842933655,0.2564692497253418,0.06116023287177086,0.9092592597007751,-0.017292708158493042,1.0203715562820435,3.0753321647644043,0.008061260916292667,0,2,0,2,8,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
2,32,32,16.0,16.0,2,0.5,0.5,10.847309112548828,11.313708498984761,0.46639938643593304,18.26913833618164,0.06872038543224335,0.24407583475112915,0.10964095592498779,0.8930371999740601,-0.03271706774830818,1.0282431840896606,2.9199769496917725,0.015479221940040588,0,2,0,2,8,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
3,16,16,32.0,32.0,1,0.25,0.25,9.78808879852295,11.313708498984761,1.525619700461812,14.115185737609863,0.04123711213469505,0.3711340129375458,0.38789618015289307,0.7392969727516174,0.04526160657405853,2.473665237426758,2.036013126373291,0.11010869592428207,0,2,0,2,8,8,10,0.9831954836845398,0.1296322348625534,58.5078121397637
0,128,128,4.0,4.0,3,2.0,2.0,10.274312973022461,11.313708498984761,1.0393955259623002,10.652090072631836,0.00345224398188293,0.11032796651124954,0.09735764563083649,0.8997262120246887,-0.13648010790348053,0.314875990152359,1.5887939929962158,0.0123344287276268,0,2,0,2,8,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
1,64,64,8.0,8.0,3,1.0,1.0,9.906758308410645,11.313708498984761,1.4069501905741166,10.022980690002441,0.03162737190723419,0.2461184710264206,0.0649469867348671,0.908607006072998,-0.0339776836335659,0.9294682145118713,2.94623064994812,0.008237740024924278,0,2,0,2,8,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
2,32,32,16.0,16.0,2,0.5,0.5,10.862813949584961,11.313708498984761,0.4508945493998002,17.742109298706055,0.05924170836806297,0.24407583475112915,0.10617756098508835,0.8995271921157837,-0.026754627004265785,0.966582715511322,2.836610794067383,0.014092300087213516,0,2,0,2,8,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
3,16,16,32.0,32.0,1,0.25,0.25,9.760259628295898,11.313708498984761,1.5534488706888627,13.682674407958984,0.04123711213469505,0.3505154550075531,0.38684654235839844,0.7427814602851868,0.047088876366615295,2.3891761302948,2.0961241722106934,0.10811313986778259,0,2,0,2,8,8,20,0.9673463702201843,0.18070315376278212,29.62446676657473
0,128,128,4.0,4.0,3,2.0,2.0,10.486372947692871,11.313708498984761,0.8273355512918901,10.972420692443848,0.002733026398345828,0.09464902430772781,0.17371366918087006,0.8248188495635986,-0.22774292528629303,0.2572149336338043,1.3125923871994019,0.04026639461517334,0,2,0,2,8,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
1,64,64,8.0,8.0,3,1.0,1.0,10.067516326904297,11.313708498984761,1.2461921720804643,10.968496322631836,0.02932720072567463,0.22829212248325348,0.0743698999285698,0.905000627040863,-0.06457215547561646,0.7993035316467285,2.733274221420288,0.009011837653815746,0,2,0,2,8,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
2,32,32,16.0,16.0,2,0.5,0.5,10.883458137512207,11.313708498984761,0.43025036147255413,16.990381240844727,0.056872040033340454,0.22748816013336182,0.10255882889032364,0.907347559928894,-0.018313951790332794,0.8884327411651611,2.7212185859680176,0.012491617351770401,0,2,0,2,8,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
3,16,16,32.0,32.0,1,0.25,0.25,9.727272987365723,11.313708498984761,1.5864355116190385,13.39433479309082,0.04123711213469505,0.34020617604255676,0.3917670249938965,0.7427575588226318,0.0509214773774147,2.2637314796447754,2.1730973720550537,0.10922561585903168,0,2,0,2,8,8,40,0.9340746998786926,0.2567592259711564,14.168683315205648
0,128,128,4.0,4.0,3,-2.0,0.0,7.4756035804748535,8.0,0.5243964195251465,6.786656856536865,0.048980746418237686,0.6002264618873596,0.04321462661027908,0.9501944184303284,-0.024987921118736267,-0.8964943289756775,0.047536544501781464,0.004610910080373287,0,2,0,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,-1.0,0.0,7.7731804847717285,8.0,0.22681951522827148,5.052059173583984,0.09451047331094742,0.5183927416801453,0.062354374676942825,0.903862476348877,-0.0037302831187844276,-2.14036226272583,-0.12049899995326996,0.009485360234975815,0,2,0,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,-0.5,0.0,7.857853889465332,8.0,0.14214611053466797,9.7135009765625,0.12155962735414505,0.5275229215621948,0.14684034883975983,0.8406366109848022,-0.003946256823837757,-3.579913377761841,-0.2912628650665283,0.03175038844347,0,2,0,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,-0.25,0.0,6.569206714630127,8.0,1.430793285369873,8.0,0.29807692766189575,0.692307710647583,0.4740065336227417,0.634231686592102,0.07039754837751389,-2.8894941806793213,-0.17087791860103607,0.18614330887794495,0,2,0,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,-2.0,0.0,7.519730567932129,8.0,0.4802694320678711,7.31654167175293,0.04572480171918869,0.5828142762184143,0.05462568625807762,0.9428568482398987,-0.0582696832716465,-0.8516695499420166,0.059722933918237686,0.005597816314548254,0,2,0,3,-8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
1,64,64,8.0,8.0,3,-1.0,0.0,7.78725528717041,8.0,0.21274471282958984,6.091904640197754,0.09337861090898514,0.5223543047904968,0.06502779573202133,0.9025770425796509,-0.011243537999689579,-2.1070642471313477,-0.11013331264257431,0.009746413677930832,0,2,0,3,-8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
2,32,32,16.0,16.0,2,-0.5,0.0,7.9086833000183105,8.0,0.09131669998168945,9.581088066101074,0.11467889696359634,0.5206421613693237,0.14369960129261017,0.8477473258972168,-0.006225751247256994,-3.4452974796295166,-0.29679834842681885,0.02989906817674637,0,2,0,3,-8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
3,16,16,32.0,32.0,1,-0.25,0.0,6.649425983428955,8.0,1.350574016571045,8.0,0.26923078298568726,0.6634615659713745,0.4702380299568176,0.6409609913825989,0.07029610872268677,-2.8143510818481445,-0.1658838838338852,0.1816612035036087,0,2,0,3,-8,0,5,0.9909166693687439,0.09530650886091728,109.09177586897036
0,128,128,4.0,4.0,3,-2.0,0.0,7.565385818481445,8.0,0.4346141815185547,7.56685209274292,0.04218573123216629,0.5686579942703247,0.07113325595855713,0.9292788505554199,-0.0942637175321579,-0.8076984286308289,0.06791381537914276,0.007785832043737173,0,2,0,3,-8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
1,64,64,8.0,8.0,3,-1.0,0.0,7.8058061599731445,8.0,0.19419384002685547,6.620299339294434,0.09111488610506058,0.5195246338844299,0.06868958473205566,0.9006226658821106,-0.019038522616028786,-2.0679574012756348,-0.10014841705560684,0.010219560004770756,0,2,0,3,-8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
2,32,32,16.0,16.0,2,-0.5,0.0,7.966493129730225,8.0,0.03350687026977539,9.5584077835083,0.11238531768321991,0.5160550475120544,0.13962045311927795,0.8562655448913574,-0.008283535949885845,-3.2855725288391113,-0.2984260022640228,0.027604036033153534,0,2,0,3,-8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
3,16,16,32.0,32.0,1,-0.25,0.0,6.745395660400391,8.0,1.2546043395996094,8.0,0.26923078298568726,0.6634615659713745,0.4688056707382202,0.6449484825134277,0.07090511918067932,-2.712517499923706,-0.16863678395748138,0.17945891618728638,0,2,0,3,-8,0,10,0.9831954836845398,0.1296322348625534,58.5078121397637
0,128,128,4.0,4.0,3,-2.0,0.0,7.642581462860107,8.0,0.3574185371398926,7.768060684204102,0.038929782807826996,0.5471404194831848,0.10936252027750015,0.8945502638816833,-0.15507273375988007,-0.7332897782325745,0.07510700821876526,0.01596718467772007,0,2,0,3,-8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
1,64,64,8.0,8.0,3,-1.0,0.0,7.845553874969482,8.0,0.15444612503051758,7.049045562744141,0.08658743649721146,0.5161290168762207,0.07525602728128433,0.8984456658363342,-0.03287126123905182,-1.976828694343567,-0.08084961771965027,0.010947861708700657,0,2,0,3,-8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
2,32,32,16.0,16.0,2,-0.5,0.0,8.061244010925293,8.0,-0.06124401092529297,9.14201545715332,0.1055045798420906,0.48853209614753723,0.1350715011358261,0.866661787033081,-0.011586257256567478,-3.055176258087158,-0.28716713190078735,0.024886786937713623,0,2,0,3,-8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
3,16,16,32.0,32.0,1,-0.25,0.0,6.919315338134766,8.0,1.0806846618652344,8.0,0.26923078298568726,0.6730769276618958,0.4644935429096222,0.6528906226158142,0.07070250809192657,-2.530829906463623,-0.1777680665254593,0.17376801371574402,0,2,0,3,-8,0,20,0.9673463702201843,0.18070315376278212,29.62446676657473
0,128,128,4.0,4.0,3,-2.0,0.0,7.7491655349731445,8.0,0.25083446502685547,7.879271984100342,0.03496602550148964,0.5222253799438477,0.19252198934555054,0.8166388273239136,-0.24982425570487976,-0.6197621822357178,0.07596679031848907,0.046956226229667664,0,2,0,3,-8,0,40,0.9340746998786926,0.2567592259711564,14.168683315205648
1,64,64,8.0,8.0,3,-1.0,0.0,7.904388904571533,8.0,0.0956110954284668,7.366087913513184,0.08262591809034348,0.509337842464447,0.08926700055599213,0.8929890394210815,-0.05772284045815468,-1.8128256797790527,-0.0527324303984642,0.012760250829160213,0,2,0,3,-8,0,40,0.9340746998786926,0.2567592259711564,14.168683315205648
2,32,32,16.0,16.0,2,-0.5,0.0,8.183614730834961,8.0,-0.18361473083496094,9.016670227050781,0.08256880193948746,0.47018346190452576,0.129493847489357,0.8799585103988647,-0.016436275094747543,-2.746507406234741,-0.27236872911453247,0.02150137908756733,0,2,0,3,-8,0,40,0.9340746998786926,0.2567592259711564,14.168683315205648
