scale,height,width,stride_y,stride_x,radius,true_dy_feature,true_dx_feature,epe_px,zero_offset_epe_px,epe_gain_vs_zero,argmax_epe_px,pck_4px,pck_8px,confidence,entropy,true_margin,predicted_dy_px,predicted_dx_px,fusion_weight,sample,block,slice,translation,true_dy_px,true_dx_px,timestep,alpha_bar,noise_std,snr
3,16,16,32.0,32.0,1,0.25,0.25,9.802098274230957,11.313708498984761,1.5116102247538041,15.188652992248535,0.06060606241226196,0.3636363744735718,0.428951621055603,0.6920517683029175,0.04457525908946991,3.397662878036499,1.937961459159851,0.14072464406490326,1,2,1,2,8,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,-2.0,0.0,7.5252814292907715,8.0,0.4747185707092285,6.773998737335205,0.05230769142508507,0.5712374448776245,0.04625966399908066,0.9421470165252686,-0.030868008732795715,-0.8707594871520996,-0.003380806650966406,0.005620224867016077,1,2,1,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,-1.0,0.0,7.990793704986572,8.0,0.009206295013427734,5.258849143981934,0.09503239393234253,0.5043196678161621,0.06876076012849808,0.8900051116943359,-0.008912965655326843,-1.9800931215286255,-0.16049452126026154,0.011824356392025948,1,2,1,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,-0.5,0.0,7.856593132019043,8.0,0.14340686798095703,9.576934814453125,0.13245032727718353,0.5298013091087341,0.15669071674346924,0.8252179622650146,-0.006572023034095764,-3.627326011657715,-0.2840854525566101,0.036468204110860825,1,2,1,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,-0.25,0.0,6.404821395874023,8.0,1.5951786041259766,8.0,0.2857142984867096,0.7428571581840515,0.5172455906867981,0.5869805812835693,0.07965382188558578,-2.9082140922546387,-0.2981317639350891,0.22484934329986572,1,2,1,3,-8,0,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,0.0,-2.0,6.090997219085693,8.0,1.9090027809143066,6.158309459686279,0.21033701300621033,0.8141734004020691,0.042953796684741974,0.9442574977874756,-0.014165920205414295,-0.0044322931207716465,-2.126044750213623,0.00409831153228879,1,2,1,4,0,-8,1,0.9969944357872009,0.054823026300990285,331.716232027764
1,64,64,8.0,8.0,3,0.0,-1.0,6.474055290222168,8.0,1.525944709777832,4.499848365783691,0.2409897744655609,0.677783727645874,0.06578626483678818,0.8930948972702026,0.004669764079153538,0.004703531973063946,-3.286550998687744,0.010818073526024818,1,2,1,4,0,-8,1,0.9969944357872009,0.054823026300990285,331.716232027764
2,32,32,16.0,16.0,2,0.0,-0.5,7.731101989746094,8.0,0.26889801025390625,17.011810302734375,0.17763158679008484,0.5635964870452881,0.13234740495681763,0.8581314086914062,-0.04318784549832344,-0.19540123641490936,-5.1459059715271,0.02501499280333519,1,2,1,4,0,-8,1,0.9969944357872009,0.054823026300990285,331.716232027764
3,16,16,32.0,32.0,1,0.0,-0.25,8.38388442993164,8.0,-0.3838844299316406,11.73413372039795,0.12264151126146317,0.5094339847564697,0.44500964879989624,0.6620610356330872,0.053721752017736435,-0.03512753173708916,-3.4116573333740234,0.15861399471759796,1,2,1,4,0,-8,1,0.9969944357872009,0.054823026300990285,331.716232027764
0,128,128,4.0,4.0,3,0.0,2.0,5.995946884155273,8.0,2.0040531158447266,6.068785667419434,0.23781903088092804,0.7554782629013062,0.0457875020802021,0.9347765445709229,-0.013709411956369877,0.0029106761794537306,2.2450644969940186,0.005132682621479034,2,2,2,0,0,8,1,0.9969944357872009,0.054823026300990285,331.716232027764
