Method,Phase,NCC_After,NCC_Delta,SSIM_After,SSIM_Delta,NCC_HeartROI_After,NCC_LiverROI_After,SSIM_HeartROI_After,SSIM_LiverROI_After,Dice_Heart_After,Dice_Liver_After,Jac_Neg_Ratio,N_Foldings,Min_Jac
013,5,0.7494176470588235,0.36571176470588235,0.9214411764705882,0.12164705882352941,0.8086235294117647,0.9324588235294118,0.9683823529411764,0.8295705882352942,0.630164705882353,0.8877764705882353,1.106470588235294,2899.823529411765,-2.037894117647059
013,6,0.8062176470588236,0.36617647058823527,0.9495647058823531,0.13423529411764706,0.8677058823529411,0.9595529411764706,0.975635294117647,0.8911235294117648,0.6859588235294118,0.9059764705882353,0.7623529411764706,1999.4705882352941,-1.7082764705882354
023,3,0.7762470588235294,0.3685705882352941,0.9378058823529412,0.13178823529411765,0.8748411764705882,0.9472999999999999,0.9759823529411764,0.8634235294117647,0.6575411764705883,0.9004705882352941,1.11,2911.705882352941,-1.5892823529411766
023,4,0.7157764705882353,0.3561941176470588,0.9117,0.11812352941176472,0.6423176470588235,0.9239117647058823,0.949335294117647,0.8106823529411765,0.525,0.8852058823529412,1.4994117647058822,3931.0,-1.7396058823529412
023,5,0.7481,0.3644,0.9243823529411764,0.12460588235294118,0.8268294117647059,0.9344352941176471,0.9689176470588234,0.8342588235294117,0.617764705882353,0.8867117647058823,1.3082352941176472,3426.9411764705883,-1.6040647058823527
023,6,0.8021411764705882,0.36211176470588236,0.9506529411764707,0.1353235294117647,0.8931058823529412,0.9602529411764706,0.9777764705882352,0.893535294117647,0.6767823529411765,0.9050058823529411,0.8676470588235294,2273.764705882353,-1.595664705882353
123,3,0.7686529411764705,0.36097647058823534,0.9323529411764706,0.12631176470588235,0.8227529411764706,0.9414588235294117,0.9687176470588235,0.8508529411764706,0.646535294117647,0.8988705882352941,1.2858823529411765,3368.176470588235,-1.5086058823529411
123,4,0.7074882352941176,0.34791176470588236,0.9042,0.1106235294117647,0.6016529411764706,0.9127588235294117,0.9455117647058823,0.7908588235294117,0.5093470588235294,0.8824882352941177,1.657058823529412,4345.64705882353,-1.959570588235294
123,5,0.7394882352941177,0.3557941176470588,0.917835294117647,0.11804705882352942,0.7664294117647058,0.9263764705882354,0.9614529411764705,0.8185235294117646,0.5976588235294118,0.8850647058823529,1.4852941176470589,3893.6470588235293,-1.6924882352941177
123,6,0.7949235294117647,0.35488823529411767,0.9459117647058823,0.13058823529411767,0.8456058823529411,0.9563411764705883,0.970870588235294,0.8831176470588236,0.6598235294117647,0.9033764705882353,1.0229411764705882,2680.9411764705883,-1.516
baseline,3,0.8032588235294118,0.3955941176470588,0.9475000000000001,0.14146470588235294,0.9069470588235293,0.9562235294117647,0.9807058823529412,0.884835294117647,0.6739294117647059,0.9048941176470588,1.055294117647059,2769.823529411765,-1.6165
baseline,4,0.7457588235294117,0.38618823529411767,0.9213294117647058,0.1277470588235294,0.6972529411764705,0.9335176470588236,0.9550352941176472,0.8324764705882354,0.5471117647058824,0.8898235294117648,1.447058823529412,3792.705882352941,-1.7651882352941175
baseline,5,0.777364705882353,0.39364117647058827,0.9343470588235294,0.1345470588235294,0.8675,0.9442529411764705,0.9747823529411765,0.8564705882352941,0.6397117647058823,0.8914352941176471,1.2582352941176471,3298.705882352941,-1.695835294117647
baseline,6,0.8254411764705882,0.3854,0.9587352941176471,0.14342352941176473,0.925064705882353,0.9672882352941176,0.9825470588235293,0.9109823529411765,0.6942705882352941,0.9087647058823529,0.8547058823529411,2238.9411764705883,-1.5569470588235295
