Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
28,block5_slice05_phase02,0.5077,0.8815,0.3738,0.8346,0.9777,0.1431,0.4876,0.9753,0.4878,0.936,0.9942,0.0582,0.8271,0.9893,0.1622,0.6979,0.962,0.2641,0.4103,0.7612,0.3508,1.434,0.926,0.614,0.8849,0.9731,0.0882,0.969,0.958,0.948,-0.6025,412,0.16,Baseline,2
29,block5_slice05_phase03,0.339,0.8303,0.4913,0.7882,0.951,0.1628,0.1014,0.9261,0.8247,0.9176,0.9912,0.0735,0.6969,0.9546,0.2577,0.6218,0.9117,0.2899,0.2787,0.7461,0.4674,1.36,0.88,0.595,0.8259,0.9401,0.1141,1.035,0.957,0.887,-0.74,1507,0.57,Baseline,3
30,block5_slice05_phase04,0.2859,0.7729,0.487,0.7763,0.9285,0.1522,-0.0739,0.854,0.9279,0.8846,0.9752,0.0906,0.675,0.9385,0.2635,0.6075,0.8797,0.2722,0.113,0.6684,0.5554,1.213,0.739,0.502,0.8106,0.9388,0.1282,1.075,0.974,0.885,-1.2095,2701,1.03,Baseline,4
31,block5_slice05_phase05,0.3125,0.8035,0.491,0.7834,0.9394,0.156,0.0235,0.9207,0.8972,0.9095,0.9889,0.0794,0.6825,0.9434,0.2609,0.6177,0.8925,0.2748,0.2317,0.7163,0.4846,1.36,0.845,0.558,0.8176,0.9403,0.1227,1.07,0.973,0.887,-1.0596,2175,0.83,Baseline,5
32,block5_slice05_phase06,0.3763,0.8521,0.4758,0.7949,0.96,0.1652,0.1871,0.9505,0.7634,0.9167,0.9919,0.0752,0.7252,0.9655,0.2402,0.6305,0.9281,0.2976,0.3012,0.7602,0.459,1.363,0.898,0.613,0.8416,0.9479,0.1063,1.037,0.965,0.901,-0.6278,999,0.38,Baseline,6
33,block5_slice05_phase07,0.4907,0.8779,0.3872,0.8313,0.976,0.1446,0.3312,0.9582,0.627,0.9034,0.9853,0.0819,0.8293,0.9893,0.16,0.6992,0.9621,0.2629,0.2284,0.5207,0.2923,2.483,0.907,0.352,0.8867,0.9728,0.0862,0.969,0.958,0.947,-0.5333,338,0.13,Baseline,7
34,block5_slice05_phase08,0.7333,0.9006,0.1673,0.9193,0.9904,0.071,0.827,0.989,0.162,0.9767,0.9977,0.021,0.9425,0.9976,0.0551,0.8475,0.9857,0.1382,0.426,0.543,0.117,2.569,0.969,0.373,0.9369,0.9782,0.0413,0.958,0.957,0.957,-0.0586,33,0.01,Baseline,8
35,block5_slice05_phase09,0.854,0.9104,0.0564,0.9823,0.9948,0.0125,0.8934,0.9862,0.0927,0.9801,0.995,0.0149,0.9928,0.9993,0.0065,0.9736,0.9944,0.0208,0.4363,0.5225,0.0862,2.622,0.946,0.354,0.9794,0.9947,0.0152,0.994,0.992,0.989,0.4175,0,0.0,Baseline,9
36,block5_slice06_phase01,0.7449,0.896,0.1511,0.9386,0.9906,0.052,0.5801,0.9744,0.3943,0.9261,0.9867,0.0606,0.9657,0.9982,0.0325,0.8976,0.9891,0.0915,0.5246,0.6741,0.1495,1.726,0.919,0.508,0.9577,0.9869,0.0292,0.975,0.974,0.974,0.1692,0,0.0,Baseline,1
37,block5_slice06_phase02,0.5076,0.8783,0.3708,0.8325,0.9805,0.148,0.3249,0.9773,0.6524,0.9243,0.9936,0.0693,0.8208,0.9918,0.171,0.6831,0.9703,0.2872,0.5372,0.8563,0.3191,0.933,0.828,0.749,0.8855,0.9744,0.0889,0.96,0.955,0.95,-0.3935,297,0.11,Baseline,2
38,block5_slice06_phase03,0.338,0.837,0.499,0.7868,0.9569,0.1701,-0.0401,0.9515,0.9916,0.909,0.9923,0.0833,0.6963,0.9621,0.2658,0.611,0.923,0.312,0.3152,0.7674,0.4522,0.946,0.747,0.623,0.8276,0.9453,0.1178,1.027,0.958,0.896,-1.1073,2305,0.88,Baseline,3
39,block5_slice06_phase04,0.2917,0.7834,0.4916,0.7742,0.9287,0.1544,-0.2054,0.8331,1.0385,0.8774,0.9695,0.0921,0.6733,0.942,0.2687,0.5947,0.8799,0.2852,0.2497,0.7313,0.4816,0.842,0.674,0.576,0.8102,0.9387,0.1285,1.038,0.957,0.885,-1.4865,3521,1.34,Baseline,4
40,block5_slice06_phase05,0.3127,0.8139,0.5013,0.781,0.9429,0.1619,-0.1122,0.9388,1.051,0.9006,0.9883,0.0877,0.6819,0.9499,0.2679,0.6054,0.8996,0.2941,0.2735,0.7512,0.4777,0.916,0.72,0.602,0.8166,0.9393,0.1228,1.03,0.953,0.886,-1.5032,2993,1.14,Baseline,5
41,block5_slice06_phase06,0.3779,0.855,0.4771,0.795,0.9664,0.1714,0.0141,0.9647,0.9506,0.907,0.9929,0.0859,0.7238,0.973,0.2492,0.621,0.9404,0.3193,0.3567,0.8003,0.4436,0.928,0.772,0.667,0.8438,0.9541,0.1103,1.028,0.967,0.912,-1.0392,1649,0.63,Baseline,6
42,block5_slice06_phase07,0.4923,0.8766,0.3843,0.8295,0.9788,0.1493,0.1605,0.9692,0.8087,0.8931,0.9864,0.0933,0.8231,0.9917,0.1687,0.6849,0.9701,0.2852,0.4492,0.647,0.1977,1.682,0.867,0.478,0.887,0.9731,0.0861,0.958,0.953,0.948,-0.3267,287,0.11,Baseline,7
