Index,Pairname,NCC_Before,NCC_After,NCC_Delta,SSIM_Before,SSIM_After,SSIM_Delta,NCC_HeartROI_Before,NCC_HeartROI_After,NCC_HeartROI_Delta,SSIM_HeartROI_Before,SSIM_HeartROI_After,SSIM_HeartROI_Delta,NCC_LiverROI_Before,NCC_LiverROI_After,NCC_LiverROI_Delta,SSIM_LiverROI_Before,SSIM_LiverROI_After,SSIM_LiverROI_Delta,Dice_Heart_Before,Dice_Heart_After,Dice_Heart_Delta,Dice_Heart_Cov,Dice_Heart_Rec,Dice_Heart_IoU,Dice_Liver_Before,Dice_Liver_After,Dice_Liver_Delta,Dice_Liver_Cov,Dice_Liver_Rec,Dice_Liver_IoU,Min_Jac,N_Foldings,Jac_Neg_Ratio,Method,Phase
52,block5_slice07_phase08,0.712,0.8967,0.1847,0.9118,0.9914,0.0796,0.7035,0.994,0.2905,0.9633,0.998,0.0347,0.935,0.9976,0.0625,0.8215,0.9871,0.1655,0.7316,0.907,0.1754,0.975,0.896,0.83,0.9366,0.9736,0.037,0.95,0.949,0.949,0.0601,0,0.0,MotionFiLM,8
53,block5_slice07_phase09,0.8349,0.9021,0.0672,0.9796,0.994,0.0144,0.8091,0.9908,0.1817,0.9665,0.9946,0.028,0.992,0.9989,0.0069,0.9683,0.9938,0.0254,0.7937,0.9379,0.1443,0.988,0.932,0.883,0.9813,0.9918,0.0105,0.986,0.985,0.984,0.3128,0,0.0,MotionFiLM,9
54,block5_slice08_phase01,0.7348,0.8915,0.1567,0.9327,0.9904,0.0577,0.3853,0.9816,0.5962,0.8996,0.9873,0.0877,0.9654,0.9979,0.0325,0.8859,0.9891,0.1032,0.6231,0.9097,0.2866,0.974,0.898,0.834,0.9593,0.987,0.0278,0.976,0.975,0.974,-0.1939,55,0.02,MotionFiLM,1
55,block5_slice08_phase02,0.5087,0.8715,0.3627,0.8373,0.9788,0.1415,0.0834,0.9647,0.8814,0.9009,0.9916,0.0908,0.8321,0.991,0.1589,0.683,0.9677,0.2847,0.5018,0.8452,0.3434,0.992,0.842,0.732,0.8929,0.9756,0.0827,0.983,0.967,0.952,-1.2127,1303,0.5,MotionFiLM,2
56,block5_slice08_phase03,0.3495,0.8181,0.4686,0.7923,0.9439,0.1515,-0.1448,0.9135,1.0583,0.8971,0.9853,0.0882,0.7148,0.9553,0.2406,0.617,0.8894,0.2724,0.3034,0.7263,0.423,0.957,0.711,0.57,0.8305,0.947,0.1164,0.987,0.941,0.899,-1.9594,2369,0.9,MotionFiLM,3
57,block5_slice08_phase04,0.3045,0.7411,0.4367,0.7776,0.9071,0.1295,-0.2628,0.5179,0.7807,0.8696,0.9348,0.0652,0.6729,0.9297,0.2567,0.5885,0.8264,0.2379,0.2492,0.6071,0.3579,0.928,0.585,0.436,0.8122,0.9369,0.1247,0.988,0.931,0.881,-2.6165,2867,1.09,MotionFiLM,4
58,block5_slice08_phase05,0.3236,0.7858,0.4622,0.7845,0.9251,0.1406,-0.1954,0.8826,1.078,0.8895,0.9798,0.0903,0.6929,0.9391,0.2462,0.6049,0.8494,0.2444,0.2753,0.6946,0.4193,0.931,0.671,0.532,0.8191,0.9384,0.1194,0.986,0.932,0.884,-2.2121,2597,0.99,MotionFiLM,5
59,block5_slice08_phase06,0.3853,0.8392,0.4539,0.8023,0.9576,0.1553,-0.1339,0.9288,1.0627,0.8908,0.9857,0.0949,0.7423,0.969,0.2267,0.6298,0.9203,0.2905,0.3325,0.7411,0.4086,0.977,0.732,0.589,0.8466,0.9571,0.1104,0.994,0.954,0.918,-1.897,2250,0.86,MotionFiLM,6
60,block5_slice08_phase07,0.4977,0.8679,0.3702,0.8358,0.977,0.1411,-0.0657,0.9435,1.0092,0.8738,0.982,0.1082,0.8329,0.9909,0.158,0.6866,0.9668,0.2802,0.4469,0.8401,0.3933,0.955,0.821,0.724,0.8942,0.9761,0.0819,0.983,0.968,0.953,-1.0876,1188,0.45,MotionFiLM,7
61,block5_slice08_phase08,0.698,0.8925,0.1945,0.9093,0.9909,0.0816,0.6245,0.9937,0.3692,0.9531,0.998,0.0449,0.9361,0.9971,0.061,0.817,0.9858,0.1688,0.7315,0.9022,0.1707,1.011,0.907,0.822,0.9373,0.9732,0.0359,0.95,0.949,0.948,-0.2925,49,0.02,MotionFiLM,8
62,block5_slice08_phase09,0.8321,0.8957,0.0636,0.9782,0.9939,0.0157,0.7635,0.9924,0.2289,0.958,0.9949,0.037,0.992,0.9988,0.0068,0.9669,0.9935,0.0267,0.7949,0.9324,0.1374,1.008,0.936,0.873,0.9821,0.9928,0.0107,0.99,0.988,0.986,-0.4022,56,0.02,MotionFiLM,9
63,block5_slice09_phase01,0.7291,0.8857,0.1567,0.9312,0.9917,0.0604,0.3325,0.9861,0.6536,0.8878,0.9887,0.101,0.9659,0.9978,0.0319,0.8838,0.9894,0.1056,0.5846,0.9077,0.3231,0.93,0.876,0.831,0.961,0.9893,0.0283,0.983,0.981,0.979,-0.0674,12,0.0,MotionFiLM,1
64,block5_slice09_phase02,0.512,0.8683,0.3563,0.8415,0.9806,0.1391,0.0382,0.9677,0.9294,0.8911,0.9915,0.1004,0.8435,0.9919,0.1484,0.6922,0.9701,0.278,0.49,0.8233,0.3332,0.93,0.794,0.7,0.8954,0.9786,0.0831,0.988,0.973,0.958,-1.0815,1224,0.47,MotionFiLM,2
65,block5_slice09_phase03,0.3598,0.8117,0.4519,0.7993,0.9425,0.1432,-0.1515,0.9077,1.0592,0.891,0.9843,0.0933,0.7261,0.9575,0.2314,0.6253,0.8841,0.2589,0.3172,0.6936,0.3765,0.905,0.661,0.531,0.8351,0.9486,0.1135,0.98,0.939,0.902,-1.6798,2489,0.95,MotionFiLM,3
66,block5_slice09_phase04,0.3142,0.7229,0.4087,0.7852,0.9072,0.122,-0.2438,0.4113,0.6551,0.868,0.9342,0.0663,0.6729,0.9344,0.2615,0.5916,0.8256,0.234,0.2715,0.5462,0.2747,0.824,0.498,0.376,0.8123,0.9407,0.1285,0.982,0.932,0.888,-2.1922,3066,1.17,MotionFiLM,4
67,block5_slice09_phase05,0.3358,0.7769,0.4411,0.792,0.9239,0.1319,-0.1884,0.8508,1.0391,0.8854,0.9751,0.0896,0.6987,0.943,0.2443,0.6114,0.8462,0.2349,0.2914,0.6689,0.3775,0.905,0.637,0.503,0.821,0.9413,0.1203,0.974,0.929,0.889,-1.9773,2716,1.04,MotionFiLM,5
68,block5_slice09_phase06,0.3975,0.8382,0.4407,0.8087,0.9577,0.1489,-0.1426,0.9292,1.0718,0.8847,0.9855,0.1009,0.7558,0.9709,0.2152,0.6385,0.9185,0.28,0.3493,0.7206,0.3714,0.922,0.692,0.563,0.8509,0.9572,0.1063,0.983,0.949,0.918,-1.5379,2215,0.84,MotionFiLM,6
69,block5_slice09_phase07,0.5052,0.8652,0.36,0.8405,0.9789,0.1384,-0.0848,0.9463,1.0312,0.8672,0.9821,0.115,0.8436,0.9918,0.1482,0.6963,0.9697,0.2733,0.4341,0.8041,0.3701,0.883,0.757,0.672,0.897,0.9797,0.0827,0.994,0.977,0.96,-1.0414,1245,0.47,MotionFiLM,7
70,block5_slice09_phase08,0.6915,0.8844,0.193,0.9096,0.9911,0.0815,0.5642,0.994,0.4298,0.9437,0.9981,0.0544,0.9392,0.9967,0.0575,0.8203,0.9855,0.1652,0.7285,0.9072,0.1788,0.983,0.899,0.83,0.9436,0.9855,0.0419,0.976,0.974,0.972,-0.348,100,0.04,MotionFiLM,8
